year,nation,player,player_id,dob,local_team,role,surname,age,wc_played,odis,bat_avg,centuries,bowl_avg,fives
1975,pakistan,Sadiq Mohammad,42601,3 May 1945,Karachi,,,,,3,30,0,,
1975,pakistan,Sarfraz Nawaz,42630,1 December 1948,Lahore,,,,,3,17,0,15.28,0
1975,pakistan,Wasim Raja,43553,3 July 1952,Lahore,,,,,3,4,0,,
1975,sri_lanka,Anura Tennekoon,50742,29 October 1946,SSC,c,,,,,,,,
1975,sri_lanka,Ajit de Silva,48458,12 December 1952,BCAC,,,,,,,,,
1975,sri_lanka,Somachandra de Silva,48454,11 June 1942,BCAC,,,,,,,,,
1975,sri_lanka,Ranjit Fernando,48804,22 February 1944,NCC,wk,,,,,,,,
1975,sri_lanka,David Heyn,49131,26 June 1945,NCC,,,,,,,,,
1975,sri_lanka,Lalith Kaluperuma,49487,25 June 1949,BCAC,,,,,,,,,
1975,sri_lanka,Duleep Mendis,49629,25 August 1952,SSC,,,,,,,,,
1975,sri_lanka,Tony Opatha,49849,5 August 1947,CCC,,,,,,,,,
1975,sri_lanka,Mevan Pieris,49861,16 February 1946,SSC,,,,,,,,,
1975,sri_lanka,Anura Ranasinghe,50241,13 October 1956,BRC,,,,,,,,,
1975,sri_lanka,Michael Tissera,50745,23 March 1939,CCC,,,,,,,,,
1975,sri_lanka,Bandula Warnapura,50835,1 March 1953,"BCAC,BRC",,,,,,,,,
1975,sri_lanka,Sunil Wettimuny,50840,2 February 1949,SSC,,,,,,,,,
1975,west_indies,Clive Lloyd,52345,31 August 1944,Guyana,c,,,,2,31,0,12.5,0
1975,west_indies,Keith Boyce,51229,11 October 1943,Barbados,,,,,2,7,0,43.5,0
1975,west_indies,Roy Fredericks,51797,11 November 1942,Guyana,,,,,2,54.5,1,,
1975,west_indies,Lance Gibbs,51883,29 September 1934,Guyana,,,,,2,,0,21,0
1975,west_indies,Gordon Greenidge,51901,1 May 1951,Barbados,,,,,,,,,
1975,west_indies,Vanburn Holder,52061,10 October 1945,Barbados,,,,,2,10,0,24.66,0
1975,west_indies,Bernard Julien,52208,13 March 1950,Trinidad & Tobago,,,,,2,0,0,25,0
1975,west_indies,Alvin Kallicharran,52285,21 March 1949,Guyana,,,,,2,79,0,,
1975,west_indies,Rohan Kanhai,52287,26 December 1935,Guyana,,,,,2,55,0,,
1975,west_indies,Deryck Murray,52441,20 May 1943,Trinidad & Tobago,wk,,,,1,11,0,,
1975,west_indies,Viv Richards,52812,7 March 1952,Leeward Islands,,,,,,,,,
1975,west_indies,Andy Roberts,52817,29 January 1951,Leeward Islands,,,,,,,,,
1979,australia,Kim Hughes,5724,26 January 1954,Western Australia,c,,,,4,1.66,0,,
1979,australia,Allan Border,4174,27 July 1955,Queensland,,,,,2,11,0,,0
1979,australia,Gary Cosier,4629,25 April 1953,South Australia,,,,,4,56,0,13.83,1
1979,australia,Rick Darling,4900,1 May 1957,South Australia,,,,,3,18,0,,
1979,australia,Geoff Dymock,4999,21 July 1945,Queensland,,,,,5,3,0,33,0
1979,australia,Andrew Hilditch,5656,20 May 1956,South Australia,,,,,1,10,0,,
1979,australia,Rodney Hogg,5685,5 March 1951,South Australia,,,,,1,4,0,20,0
1979,australia,Alan Hurst,5732,15 July 1950,Victoria,,,,,3,,0,20.5,0
1979,australia,Trevor Laughlin,6261,30 January 1951,Victoria,,,,,2,4,0,22.33,0
1979,australia,Jeff Moss,6654,29 June 1947,Victoria,,,,,,,,,
1979,australia,Graeme Porter,7135,18 March 1955,Western Australia,,,,,,,,,
1979,australia,Kevin Wright ,8264,27 December 1953,Western Australia,wk,,,,,,,,
1979,australia,Graham Yallop,8448,7 October 1952,Victoria,,,,,4,9.33,0,,
1979,canada,Bryan Mauricette,23780,4 September 1946,"Toronto,Windward Islands",c/wk,,,,,,,,
1979,canada,Charles Baksh,23762,15 March 1940,Winnipeg,,,,,,,,,
1979,canada,Robert Callender,23764,2 November 1950,Montreal,,,,,,,,,
1979,canada,Christopher Chappell,23765,17 July 1955,Toronto,,,,,,,,,
1979,canada,Franklyn Dennis,23768,26 September 1947,Toronto,,,,,,,,,
1979,canada,Cornelius Henry,23773,16 September 1956,Ottawa,,,,,,,,,
1979,canada,Tariq Javed,23793,12 June 1949,Ottawa Karachi,,,,,,,,,
1979,canada,Cecil Marshall,23779,13 September 1939,Ottawa,,,,,,,,,
1979,canada,Jitendra Patel,23782,26 November 1945,"London,Baroda",,,,,,,,,
1979,canada,Glenroy Sealy,23788,11 June 1940,Toronto Barbados,,,,,,,,,
1979,canada,Martin Stead,23792,1 June 1958,Vancouver,,,,,,,,,
1979,canada,John Valentine,23794,20 September 1954,Ottawa,,,,,,,,,
1979,canada,John Vaughan,23795,8 June 1945,Ottawa,,,,,,,,,
1979,england,Mike Brearley,9208,28 April 1942,Middlesex,c,,,,9,25.75,0,,
1979,england,Ian Botham,56362,24 November 1955,Somerset,,,,,,,,,
1979,england,Geoffrey Boycott,9187,21 October 1940,Yorkshire,,,,,12,18.33,0,,
1979,england,Phil Edmonds,12486,8 March 1951,Middlesex,,,,,7,4.5,0,19.62,0
1979,england,Mike Gatting,13340,6 June 1957,Middlesex,,,,,3,8.33,0,,0
1979,england,Graham Gooch,13399,23 July 1953,Essex,,,,,7,26.16,0,15.5,0
1979,england,David Gower,13418,1 April 1957,Leicestershire,,,,,6,73.33,1,,
1979,england,Mike Hendrick,14159,22 October 1948,Derbyshire,,,,,10,2.5,0,20.28,0
1979,england,Wayne Larkins,16203,22 November 1953,Northamptonshire,,,,,,,,,
1979,england,Geoff Miller,17025,8 September 1952,Derbyshire,,,,,7,4.4,0,28.33,0
1979,england,Chris Old,18256,22 December 1948,Yorkshire,,,,,21,24.07,0,21.32,0
1979,england,Derek Randall,19327,24 February 1951,Nottinghamshire,,,,,11,35.88,0,,
1979,england,Bob Taylor,21494,17 July 1941,Derbyshire,wk,,,,11,18,0,,
1979,england,Bob Willis,22462,30 May 1949,Warwickshire,,,,,11,16,0,20.53,0
1979,india,Srinivas Venkataraghavan,35656,21 April 1945,Tamil Nadu,c,,,,9,9.33,0,74.75,0
1979,india,Mohinder Amarnath,26225,24 September 1950,Delhi,,,,,8,28.75,0,34.66,0
1979,india,Bishan Singh Bedi,26875,25 September 1946,Delhi,,,,,7,4,0,32.28,0
1979,india,Anshuman Gaekwad,28754,23 September 1952,Baroda,,,,,7,33.8,0,,
1979,india,Sunil Gavaskar,28794,10 July 1949,Bombay,,,,,6,41.25,0,10,0
1979,india,Karsan Ghavri,492924,28 February 1951,Bombay,,,,,,,,,
1979,india,Kapil Dev,30028,6 January 1959,Haryana,,,,,3,18,0,26.75,0
1979,india,Surinder Khanna ,26226,3 June 1956,Delhi,wk,,,,3,33.33,0,,
1979,india,Brijesh Patel,32231,24 November 1952,Karnataka,,,,,7,36,0,,
1979,india,Dilip Vengsarkar,35654,6 April 1956,Bombay,,,,,4,24,0,,
1979,india,Gundappa Viswanath,35712,12 February 1949,Karnataka,,,,,9,21.14,0,,
1979,new_zealand,Mark Burgess,36314,17 July 1944,Auckland,c,,,,9,13.28,0,10,0
1979,new_zealand,Lance Cairns,36595,10 October 1949,Otago,,,,,8,35.6,0,29.09,1
1979,new_zealand,Ewen Chatfield,36603,3 July 1950,Wellington,,,,,,,,,
1979,new_zealand,Jeremy Coney,36609,21 June 1952,Wellington,,,,,,,,,
1979,new_zealand,Bruce Edgar,36951,23 November 1956,Wellington,,,,,1,31,0,,
1979,new_zealand,Richard Hadlee,37224,3 July 1951,Canterbury,,,,,13,11.57,0,39.45,0
1979,new_zealand,Geoff Howarth,37254,29 March 1951,Auckland,,,,,8,27.14,0,,0
1979,new_zealand,Warren Lees,37605,19 March 1952,Otago,wk,,,,,,,,
1979,new_zealand,Brian McKechnie,37707,6 November 1953,Otago,,,,,6,12,0,40.6,0
1979,new_zealand,John Morrison,37731,27 August 1947,Wellington,,,,,6,18.5,0,,
1979,new_zealand,Warren Stott,38405,8 December 1946,Auckland,,,,,,,,,
1979,new_zealand,Gary Troup,38617,3 October 1952,Auckland,,,,,1,,,29,0
1979,new_zealand,Glenn Turner,38622,26 May 1947,Otago,,,,,14,65.33,2,,
1979,new_zealand,John Wright,38757,5 July 1954,Northern Districts,,,,,2,24,0,,
1979,pakistan,Asif Iqbal,39010,6 June 1943,Karachi,c,,,,6,67,0,31.57,0
1979,pakistan,Zaheer Abbas,43695,24 July 1947,Karachi,,,,,10,38.66,0,,
1979,pakistan,Sikander Bakht,42661,25 August 1957,Karachi,,,,,4,16,0,20.71,0
1979,pakistan,Wasim Bari,43549,23 March 1948,Karachi,wk,,,,16,11.8,0,,
1979,pakistan,Imran Khan,40560,25 November 1952,PIA,,,,,8,12.8,0,27.55,0
1979,pakistan,Majid Khan,41919,28 September 1946,Rawalpindi,,,,,10,45.6,1,23.33,0
1979,pakistan,Javed Miandad,40879,12 June 1957,Habib Bank,,,,,12,28.44,0,37.2,0
1979,pakistan,Sadiq Mohammad,42601,3 May 1945,Karachi,,,,,13,17.38,0,13,0
1979,pakistan,Sarfraz Nawaz,42630,1 December 1948,Lahore,,,,,13,10.6,0,17.29,0
1979,pakistan,Mudassar Nazar,41308,6 April 1956,Lahore,,,,,6,26.16,0,31.75,0
1979,pakistan,Wasim Raja,43553,3 July 1952,Lahore,,,,,14,20.54,0,19.42,0
1979,pakistan,Haroon Rashid,40375,25 March 1953,Karachi,,,,,3,8.66,0,,
1979,sri_lanka,Anura Tennekoon,50742,29 October 1946,SSC,c,,,,3,26,0,,
1979,sri_lanka,Ajit de Silva,48458,12 December 1952,BCAC,,,,,1,0,0,,0
1979,sri_lanka,Somachandra de Silva,48454,11 June 1942,BCAC,,,,,3,23.5,0,38.5,0
1979,sri_lanka,Stanley de Silva,48453,17 November 1956,,,,,,,,,,
1979,sri_lanka,Roy Dias,48470,18 October 1952,CCC,,,,,,,,,
1979,sri_lanka,Ranjan Gunatilleke,49081,15 August 1951,,,,,,,,,,
1979,sri_lanka,Sunil Jayasinghe,49207,15 July 1955,BCAC,wk,,,,,,,,
1979,sri_lanka,Ranjan Madugalle,49623,22 April 1959,FFCC,,,,,,,,,
1979,sri_lanka,Duleep Mendis,49629,25 August 1952,SSC,,,,,2,40,0,,
1979,sri_lanka,Tony Opatha,49849,5 August 1947,CCC,,,,,3,5.5,0,59,0
1979,sri_lanka,Sudath Pasqual,49852,16 October 1961,RCC,,,,,,,,,
1979,sri_lanka,Bandula Warnapura,50835,1 March 1953,"BCAC,BRC",vc,,,,3,13.66,0,27.33,0
1979,sri_lanka,Sunil Wettimuny,50840,2 February 1949,SSC,,,,,1,,0,,
1979,west_indies,Clive Lloyd,52345,31 August 1944,Guyana,c,,,,12,45.12,1,29.71,0
1979,west_indies,Colin Croft,51485,15 March 1953,"Guyana,",,,,,2,,0,15.66,0
1979,west_indies,Joel Garner,51876,16 December 1952,Barbados,,,,,2,13,0,9.33,0
1979,west_indies,Gordon Greenidge,51901,1 May 1951,Barbados,,,,,9,26.11,0,,
1979,west_indies,Desmond Haynes,52047,15 February 1956,Barbados,,,,,1,148,1,,
1979,west_indies,Michael Holding,52063,16 February 1954,Jamaica,,,,,3,9.5,0,49,0
1979,west_indies,Alvin Kallicharran,52285,21 March 1949,Guyana,,,,,11,42,0,,
1979,west_indies,Collis King,52290,11 June 1951,Barbados,,,,,4,7.33,0,,0
1979,west_indies,Deryck Murray,52441,20 May 1943,Trinidad and Tobago,wk,,,,12,35.66,0,,
1979,west_indies,Viv Richards,52812,7 March 1952,Leeward Islands,,,,,11,44.62,1,16.25,0
1979,west_indies,Andy Roberts,52817,29 January 1951,Leeward Islands,,,,,11,37,0,18.82,0
1979,west_indies,Larry Gomes,51891,13 July 1953,Trinidad and Tobago,,,,,1,7,0,,0
1979,west_indies,Faoud Bacchus,51208,31 January 1954,Guyana,,,,,2,0,0,,
1979,west_indies,Malcolm Marshall,52419,18 October 1958,Barbados,,,,,,,,,
1983,australia,Kim Hughes,5724,26 January 1954,Western Australia,c,,,,62,22.82,0,,
1983,australia,Allan Border,4174,27 July 1955,Queensland,,,,,60,30.46,1,47.57,0
1983,australia,Trevor Chappell,4561,12 October 1952,New South Wales,,,,,16,10,0,29.33,0
1983,australia,Tom Hogan,5679,23 September 1956,Western Australia,,,,,1,4,0,21,0
1983,australia,Rodney Hogg,5685,5 March 1951,South Australia,,,,,27,3.83,0,28.12,0
1983,australia,David Hookes,5696,3 May 1955,South Australia,,,,,15,27.69,0,,0
1983,australia,Geoff Lawson,6272,7 December 1957,New South Wales,,,,,25,14.66,0,33.92,0
1983,australia,Dennis Lillee,6295,18 July 1949,Western Australia,,,,,54,9.79,0,19.62,1
1983,australia,Ken MacLeay,6453,2 April 1959,Western Australia,,,,,1,3,0,39,0
1983,australia,Rod Marsh,6502,4 November 1947,Western Australia,wk,,,,71,16.21,0,,
1983,australia,Jeff Thomson,7946,16 August 1950,Queensland,,,,,43,8.04,0,32.36,0
1983,australia,Kepler Wessels,47884,14 September 1957,Queensland,,,,,8,35.57,0,,
1983,australia,Graeme Wood,8251,6 November 1956,Western Australia,,,,,41,31.97,1,,
1983,australia,Graham Yallop,8448,7 October 1952,Victoria,,,,,14,28.9,0,,0
1983,england,Bob Willis,22462,30 May 1949,Warwickshire,c,,,,46,12,0,24.45,0
1983,england,Paul Allott,8526,14 September 1956,Lancashire,,,,,3,2.5,0,17,0
1983,england,Ian Botham,56362,24 November 1955,Somerset,,,,,,,,,
1983,england,Norman Cowans,10839,17 April 1961,Middlesex,,,,,6,2,0,38.16,0
1983,england,Graham Dilley,11893,18 May 1959,Kent,,,,,11,1,0,31.4,0
1983,england,Graeme Fowler,12884,20 April 1957,Lancashire,,,,,1,0,0,,
1983,england,Mike Gatting,13340,6 June 1957,Middlesex,,,,,17,38.66,0,,0
1983,england,Ian Gould,13414,19 August 1957,Sussex,,,,,7,14.4,0,,
1983,england,David Gower,13418,1 April 1957,Leicestershire,,,,,47,35.92,5,,0
1983,england,Trevor Jesty,15511,2 June 1948,Hampshire,,,,,8,31.5,0,93,0
1983,england,Allan Lamb,16178,20 June 1954,Northamptonshire,,,,,13,54.36,2,,
1983,england,Vic Marks,16899,25 June 1955,Somerset,,,,,9,14,0,26.75,0
1983,england,Derek Randall,19327,24 February 1951,Nottinghamshire,,,,,38,27.06,0,2,0
1983,england,Chris Tavaré,21466,27 October 1954,Kent,,,,,16,32.64,0,,0
1983,india,Kapil Dev,30028,6 January 1959,Haryana,c,,,,29,20.57,0,32.86,0
1983,india,Mohinder Amarnath,26225,24 September 1950,Delhi,,,,,18,19.09,0,43.56,0
1983,india,Kirti Azad,26325,2 January 1959,Delhi,,,,,8,15.75,0,26,0
1983,india,Roger Binny,26948,19 July 1955,Karnataka,,,,,15,17.92,0,34.2,0
1983,india,Sunil Gavaskar,28794,10 July 1949,Bombay,,,,,28,25.12,0,21,0
1983,india,Syed Kirmani,30116,29 December 1949,Karnataka,wk,,,,25,22.72,0,,
1983,india,Madan Lal Ravishankar,30873,20 March 1951,Delhi,,,,,17,21.2,0,29.36,0
1983,india,Sandeep Patil,32283,18 August 1956,Bombay,,,,,21,26.05,0,35.2,0
1983,india,Balwinder Sandhu,33816,3 August 1956,Bombay,,,,,4,,,86.5,0
1983,india,Yashpal Sharma,36075,11 August 1954,Punjab,,,,,24,33.73,0,173,0
1983,india,Ravi Shastri,33975,27 May 1962,Bombay,,,,,8,24.5,0,156,0
1983,india,Krishnamachari Srikkanth,34103,21 December 1959,Tamil Nadu,,,,,9,40.22,0,,0
1983,india,Sunil Valson,35650,2 October 1958,Delhi,,,,,,,,,
1983,india,Dilip Vengsarkar,35654,6 April 1956,Bombay,,,,,31,28.03,0,,0
1983,new_zealand,Geoff Howarth,37254,29 March 1951,Auckland,c,,,,36,23.75,0,54,0
1983,new_zealand,John Bracewell,36306,15 April 1958,Auckland,,,,,,,,,
1983,new_zealand,Lance Cairns,36595,10 October 1949,Otago,,,,,38,18.92,0,31.26,1
1983,new_zealand,Ewen Chatfield,36603,3 July 1950,Wellington,,,,,24,9.5,0,29.92,1
1983,new_zealand,Jeremy Coney,36609,21 June 1952,Wellington,,,,,28,28.52,0,41.7,0
1983,new_zealand,Jeff Crowe,36620,14 September 1958,Auckland,,,,,6,31.8,0,,
1983,new_zealand,Martin Crowe,36622,22 September 1962,Central Districts,,,,,3,5,0,4.5,0
1983,new_zealand,Bruce Edgar,36951,23 November 1956,Wellington,,,,,30,41.8,1,,
1983,new_zealand,Richard Hadlee,37224,3 July 1951,Canterbury,,,,,45,18.52,0,27.93,2
1983,new_zealand,Warren Lees,37605,19 March 1952,Otago,wk,,,,17,11.33,0,,
1983,new_zealand,Ian Smith,38396,28 February 1957,Central Districts,wk,,,,13,11.28,0,,
1983,new_zealand,Martin Snedden,38398,23 November 1958,Auckland,,,,,23,9.33,0,27.58,0
1983,new_zealand,Glenn Turner,38622,26 May 1947,Otago,,,,,25,58.94,2,,
1983,new_zealand,John Wright,38757,5 July 1954,Northern Districts,,,,,33,34.18,0,,
1983,pakistan,Imran Khan,40560,25 November 1952,PIA,c,,,,34,31.2,0,22.88,0
1983,pakistan,Abdul Qadir,38973,15 September 1955,Habib Bank,,,,,,,,,
1983,pakistan,Ijaz Faqih,40556,24 March 1956,MCB,,,,,12,7.87,0,71,0
1983,pakistan,Mansoor Akhtar,41263,6 September 1962,United Bank,,,,,18,18.9,0,,0
1983,pakistan,Mohsin Khan,41303,15 March 1955,Habib Bank,,,,,21,33.66,2,2,0
1983,pakistan,Mudassar Nazar,41308,6 April 1956,Lahore,,,,,32,27.58,0,28.37,0
1983,pakistan,Rashid Khan,42421,15 December 1959,,,,,,4,,0,81.5,0
1983,pakistan,Sarfraz Nawaz,42630,1 December 1948,Lahore,,,,,28,13,0,21.46,0
1983,pakistan,Shahid Mahboob,42644,25 August 1962,Karachi,,,,,1,,,55,0
1983,pakistan,Tahir Naqqash,43271,6 June 1959,Lahore,,,,,17,16.75,0,89.33,0
1983,pakistan,Wasim Bari,43549,23 March 1948,Karachi,wk,,,,34,11.88,0,,
1983,pakistan,Wasim Raja,43553,3 July 1952,Lahore,,,,,38,25.18,0,24.73,0
1983,pakistan,Zaheer Abbas,43695,24 July 1947,Karachi,,,,,36,50.06,6,25.5,0
1983,pakistan,Javed Miandad,40879,12 June 1957,Habib Bank,,,,,39,38.88,2,41.8,0
1983,sri_lanka,Duleep Mendis,49629,25 August 1952,SSC,c,,,,12,28.7,0,,
1983,sri_lanka,Guy de Alwis,48446,15 February 1959,SSC,wk,,,,,,,,
1983,sri_lanka,Ashantha de Mel,48447,9 May 1959,,,,,,8,17.2,0,31.22,0
1983,sri_lanka,Somachandra de Silva,48454,11 June 1942,BCAC,,,,,12,12.14,0,40.23,0
1983,sri_lanka,Roy Dias,48470,18 October 1952,CCC,,,,,10,55.4,2,,0
1983,sri_lanka,Vinothen John,49213,27 May 1960,SCC,,,,,3,,,60.5,0
1983,sri_lanka,Brendon Kuruppu,49368,5 January 1962,BRC,,,,,,,,,
1983,sri_lanka,Ranjan Madugalle,49623,22 April 1959,NCC,,,,,9,20.85,0,,
1983,sri_lanka,Arjuna Ranatunga,50244,1 December 1963,SCC,,,,,4,34,0,104,0
1983,sri_lanka,Rumesh Ratnayake,50249,2 January 1964,NCC,,,,,1,,0,,0
1983,sri_lanka,Athula Samarasekera,50421,5 August 1961,CCC,,,,,,,,,
1983,sri_lanka,Sidath Wettimuny,50844,12 August 1956,,,,,,8,46.85,0,,0
1983,west_indies,Clive Lloyd,52345,31 August 1944,Guyana,c,,,,44,40.33,1,30,0
1983,west_indies,Faoud Bacchus,51208,31 January 1954,Guyana,,,,,19,20.94,0,,
1983,west_indies,Wayne Daniel,51639,16 January 1956,Barbados,,,,,1,,0,35,0
1983,west_indies,Winston Davis,51643,18 September 1958,Windward Islands,,,,,,,,,
1983,west_indies,Jeff Dujon,51657,28 May 1956,Jamaica,wk,,,,12,19.14,0,,
1983,west_indies,Joel Garner,51876,16 December 1952,Barbados,,,,,36,5.85,0,20.49,1
1983,west_indies,Larry Gomes,51891,13 July 1953,Trinidad and Tobago,,,,,18,19.9,0,15.66,0
1983,west_indies,Gordon Greenidge,51901,1 May 1951,Barbados,,,,,38,46.26,3,45,0
1983,west_indies,Desmond Haynes,52047,15 February 1956,Barbados,,,,,36,29.77,1,,
1983,west_indies,Michael Holding,52063,16 February 1954,Jamaica,,,,,35,4.71,0,19.6,0
1983,west_indies,Gus Logie,52347,28 September 1960,Trinidad and Tobago,,,,,4,,,,
1983,west_indies,Malcolm Marshall,52419,18 October 1958,Barbados,,,,,13,20,0,25.87,0
1983,west_indies,Viv Richards,52812,7 March 1952,Leeward Islands,,,,,42,51.47,3,36.85,0
1983,west_indies,Andy Roberts,52817,29 January 1951,Leeward Islands,,,,,42,8.68,0,19.37,1
1983,zimbabwe,Duncan Fletcher,55424,27 September 1948,,c,,,,,,,,
1983,zimbabwe,Robin Brown,55275,11 March 1951,,,,,,,,,,
1983,zimbabwe,Iain Butchart,55280,9 May 1960,,,,,,,,,,
1983,zimbabwe,Kevin Curran,55324,7 September 1959,,,,,,,,,,
1983,zimbabwe,Jack Heron,55485,8 November 1948,,,,,,,,,,
1983,zimbabwe,Graeme Hick,14187,23 May 1966,,,,,,,,,,
1983,zimbabwe,Vince Hogg,55493,3 July 1952,,,,,,,,,,
